Confirmed,Date,Deaths,People_Hospitalized,People_Tested,Province_State,Recovered
0,03-07-2020,0,0,11,Kansas,0
3,03-07-2020,0,0,44,Maryland,0
0,03-07-2020,0,0,0,Louisiana,0
0,03-07-2020,0,0,1,Maine,0
0,03-07-2020,0,0,15,Iowa,0
128,03-07-2020,0,0,146,Michigan,0
1,03-07-2020,0,0,10,Kentucky,0
1,03-07-2020,0,0,1,Hawaii,0
0,03-07-2020,0,0,6,Arkansas,0
14,03-07-2020,0,0,114,Florida,0
0,03-07-2020,0,0,10,Delaware,0
0,03-07-2020,0,0,8,District of Columbia,0
0,03-07-2020,0,0,0,Connecticut,0
8,03-07-2020,0,0,63,Colorado,0
69,03-07-2020,0,0,531,California,0
5,03-07-2020,0,6,49,Arizona,0
0,03-07-2020,0,0,0,Alabama,0
0,03-07-2020,0,0,12,Alaska,0
2,03-07-2020,0,0,50,Minnesota,0
6,03-07-2020,0,0,6,Georgia,0
0,03-07-2020,0,0,0,Missouri,0
1,03-07-2020,0,0,32,Wisconsin,0
0,03-07-2020,0,0,11,Montana,0
0,03-07-2020,0,0,2,West Virginia,0
0,03-07-2020,0,0,0,Wyoming,0
912,03-07-2020,27,0,2282,Washington,0
1,03-07-2020,0,0,26,Vermont,0
0,03-07-2020,0,0,31,Virginia,0
1,03-07-2020,0,0,1,Utah,0
8,03-07-2020,0,0,8,Texas,0
1,03-07-2020,0,0,1,Tennessee,0
0,03-07-2020,0,0,5,South Dakota,0
2,03-07-2020,0,0,10,South Carolina,0
3,03-07-2020,0,0,33,Rhode Island,0
0,03-07-2020,0,0,0,Mississippi,0
7,03-07-2020,0,0,84,Oregon,0
1,03-07-2020,0,0,1,Oklahoma,0
0,03-07-2020,0,0,9,Ohio,0
76,03-07-2020,0,0,168,New York,0
1,03-07-2020,0,0,15,Nevada,0
0,03-07-2020,0,0,48,New Mexico,0
4,03-07-2020,0,0,4,New Jersey,0
2,03-07-2020,0,0,22,New Hampshire,0
1,03-07-2020,0,0,18,Nebraska,0
0,03-07-2020,0,0,0,North Dakota,0
2,03-07-2020,0,0,2,North Carolina,0
4,03-07-2020,0,0,4,Pennsylvania,0
6,03-08-2020,0,0,197,Illinois,0
2,03-08-2020,0,0,2,Indiana,0
1,03-08-2020,0,0,12,Kansas,0
1,03-08-2020,0,0,14,Kentucky,0
2,03-08-2020,0,0,50,Minnesota,0
3,03-08-2020,0,0,55,Maryland,0
0,03-08-2020,0,0,1,Maine,0
168,03-08-2020,0,0,194,Michigan,0
0,03-08-2020,0,0,27,Idaho,0
0,03-08-2020,0,0,5,Louisiana,0
0,03-08-2020,0,0,15,Iowa,0
1,03-08-2020,0,0,30,Connecticut,0
7,03-08-2020,0,0,7,Georgia,0
17,03-08-2020,0,0,135,Florida,0
0,03-08-2020,0,0,10,Delaware,0
1,03-08-2020,0,0,11,District of Columbia,0
8,03-08-2020,0,0,112,Colorado,0
88,03-08-2020,0,0,550,California,0
5,03-08-2020,0,6,49,Arizona,0
0,03-08-2020,0,0,6,Arkansas,0
0,03-08-2020,0,0,0,Alabama,0
1,03-08-2020,0,0,1,Missouri,0
1,03-08-2020,0,0,1,Hawaii,0
0,03-08-2020,0,0,14,Alaska,0
0,03-08-2020,0,0,0,Mississippi,0
2,03-08-2020,0,0,2,North Carolina,0
0,03-08-2020,0,0,11,Montana,0
0,03-08-2020,0,0,0,Wyoming,0
0,03-08-2020,0,0,2,West Virginia,0
1,03-08-2020,0,0,32,Wisconsin,0
1065,03-08-2020,31,0,2805,Washington,0
1,03-08-2020,0,0,31,Vermont,0
2,03-08-2020,0,0,38,Virginia,0
8,03-08-2020,0,0,8,Texas,0
3,03-08-2020,0,0,3,Tennessee,0
0,03-08-2020,0,0,5,South Dakota,0
2,03-08-2020,0,0,10,South Carolina,0
1,03-08-2020,0,0,1,Utah,0
6,03-08-2020,0,0,6,Pennsylvania,0
3,03-08-2020,0,0,33,Rhode Island,0
1,03-08-2020,0,0,18,Nebraska,0
4,03-08-2020,0,0,42,New Hampshire,0
6,03-08-2020,0,0,37,New Jersey,0
0,03-08-2020,0,0,48,New Mexico,0
0,03-08-2020,0,0,0,North Dakota,0
105,03-08-2020,0,0,197,New York,0
0,03-08-2020,0,0,10,Ohio,0
1,03-08-2020,0,0,9,Oklahoma,0
14,03-08-2020,0,0,114,Oregon,0
1,03-08-2020,0,0,15,Nevada,0
3,03-09-2020,0,0,29,Iowa,0
254,03-09-2020,0,0,290,Michigan,0
0,03-09-2020,0,0,1,Maine,0
5,03-09-2020,0,0,78,Maryland,0
1,03-09-2020,0,0,6,Louisiana,0
4,03-09-2020,0,0,21,Kentucky,0
1,03-09-2020,0,0,12,Kansas,0
2,03-09-2020,0,0,2,Indiana,0
7,03-09-2020,0,0,198,Illinois,0
0,03-09-2020,0,0,41,Idaho,0
2,03-09-2020,0,0,2,Hawaii,0
5,03-09-2020,0,0,85,Minnesota,0
18,03-09-2020,0,0,158,Florida,0
0,03-09-2020,0,0,15,Delaware,0
1,03-09-2020,0,0,15,District of Columbia,0
1,03-09-2020,0,0,47,Connecticut,0
9,03-09-2020,0,0,142,Colorado,0
114,03-09-2020,0,0,804,California,0
5,03-09-2020,0,8,49,Arizona,0
0,03-09-2020,0,0,12,Arkansas,0
0,03-09-2020,0,0,0,Alabama,0
0,03-09-2020,0,0,23,Alaska,0
12,03-09-2020,0,0,12,Georgia,0
1,03-09-2020,0,0,1,Missouri,0
1237,03-09-2020,35,0,3829,Washington,0
0,03-09-2020,0,0,11,Montana,0
0,03-09-2020,0,0,2,West Virginia,0
1,03-09-2020,0,0,37,Wisconsin,0
0,03-09-2020,0,0,0,Wyoming,0
1,03-09-2020,0,0,37,Vermont,0
3,03-09-2020,0,0,41,Virginia,0
1,03-09-2020,0,0,1,Utah,0
12,03-09-2020,0,0,12,Texas,0
3,03-09-2020,0,0,3,Tennessee,0
0,03-09-2020,0,0,5,South Dakota,0
7,03-09-2020,0,0,31,South Carolina,0
3,03-09-2020,0,0,33,Rhode Island,0
0,03-09-2020,0,0,0,Mississippi,0
14,03-09-2020,0,0,179,Oregon,0
1,03-09-2020,0,0,9,Oklahoma,0
3,03-09-2020,0,0,14,Ohio,0
142,03-09-2020,0,0,234,New York,0
1,03-09-2020,0,0,15,Nevada,0
0,03-09-2020,0,0,57,New Mexico,0
11,03-09-2020,0,0,46,New Jersey,0
4,03-09-2020,0,0,42,New Hampshire,0
3,03-09-2020,0,0,39,Nebraska,0
0,03-09-2020,0,0,0,North Dakota,0
2,03-09-2020,0,0,2,North Carolina,0
10,03-09-2020,0,0,10,Pennsylvania,0
19,03-10-2020,0,0,263,Illinois,0
6,03-10-2020,0,0,36,Indiana,0
1,03-10-2020,0,0,18,Kansas,0
6,03-10-2020,0,0,34,Kentucky,0
11,03-10-2020,0,0,143,Minnesota,0
6,03-10-2020,0,0,95,Maryland,0
0,03-10-2020,0,0,20,Maine,0
358,03-10-2020,0,0,397,Michigan,0
0,03-10-2020,0,0,41,Idaho,0
1,03-10-2020,0,0,12,Louisiana,0
8,03-10-2020,0,0,40,Iowa,0
2,03-10-2020,0,0,56,Connecticut,0
17,03-10-2020,0,0,17,Georgia,0
19,03-10-2020,0,0,241,Florida,0
0,03-10-2020,0,0,17,Delaware,0
5,03-10-2020,0,0,22,District of Columbia,0
