Admin2,City,Confirmed,Date,Deaths,Province_State,d10_Confirmed,d10_Deaths,d11_Confirmed,d11_Deaths,d12_Confirmed,d12_Deaths,d13_Confirmed,d13_Deaths,d14_Confirmed,d14_Deaths,d15_Confirmed,d15_Deaths,d16_Confirmed,d16_Deaths,d17_Confirmed,d17_Deaths,d18_Confirmed,d18_Deaths,d19_Confirmed,d19_Deaths,d1_Confirmed,d1_Deaths,d20_Confirmed,d20_Deaths,d21_Confirmed,d21_Deaths,d22_Confirmed,d22_Deaths,d23_Confirmed,d23_Deaths,d24_Confirmed,d24_Deaths,d25_Confirmed,d25_Deaths,d26_Confirmed,d26_Deaths,d27_Confirmed,d27_Deaths,d28_Confirmed,d28_Deaths,d2_Confirmed,d2_Deaths,d3_Confirmed,d3_Deaths,d4_Confirmed,d4_Deaths,d5_Confirmed,d5_Deaths,d6_Confirmed,d6_Deaths,d7_Confirmed,d7_Deaths,d8_Confirmed,d8_Deaths,d9_Confirmed,d9_Deaths,dWeek_Confirmed,dWeek_Deaths,dYesterday_Confirmed,dYesterday_Deaths,Population
Cleburne,,627,11-08-2020,11,Alabama,2,0,2,0,4,0,0,1,4,0,13,0,5,0,8,0,11,1,4,0,5,0,4,0,4,0,5,0,11,0,15,1,6,0,8,0,6,0,1,0,6,1,2,0,10,1,14,0,-1,0,1,0,7,0,2,0,37.0,2.0,5,0,14910.0
Coffee,,1985,11-08-2020,12,Alabama,15,0,10,0,19,0,12,0,24,0,8,0,31,0,15,1,35,1,16,0,15,0,26,0,11,0,14,0,9,0,18,0,20,2,17,1,8,0,11,0,23,1,27,0,11,0,16,0,8,0,7,0,13,0,14,0,107.0,1.0,15,0,52342.0
Colbert,,2461,11-08-2020,33,Alabama,23,0,20,0,22,0,19,0,20,0,16,0,18,1,20,0,34,1,11,2,11,0,16,1,17,0,6,0,14,0,18,0,11,0,8,0,8,0,11,0,25,0,35,1,24,0,30,0,23,0,6,0,156,0,26,0,154.0,1.0,11,0,55241.0
Conecuh,,605,11-08-2020,13,Alabama,1,0,7,0,0,0,4,0,0,0,0,0,1,0,3,0,1,0,-1,0,1,0,3,0,0,0,0,0,4,0,0,0,1,1,0,0,2,0,0,0,8,0,4,0,4,0,4,0,6,0,1,0,0,0,4,0,28.0,0.0,1,0,12067.0
Coosa,,235,11-08-2020,3,Alabama,2,0,3,0,5,0,4,0,1,0,1,0,0,0,1,0,3,0,2,0,0,0,1,0,0,0,0,0,4,0,1,0,1,0,1,0,1,0,1,0,2,0,3,0,1,0,1,0,3,0,2,0,1,0,3,0,12.0,0.0,0,0,10663.0
Covington,,1941,11-08-2020,32,Alabama,14,0,6,0,8,0,4,0,8,0,7,0,26,0,15,0,33,0,6,0,0,0,13,0,3,0,4,0,28,0,8,0,19,0,1,0,14,0,9,0,7,0,22,0,10,2,7,0,1,0,2,0,6,0,99,1,49.0,2.0,0,0,37049.0
Crenshaw,,644,11-08-2020,30,Alabama,4,0,1,0,2,0,0,0,1,0,2,0,3,0,1,0,4,0,5,0,3,0,3,0,2,0,5,0,5,0,5,0,-1,0,4,0,3,0,1,0,0,0,7,0,5,0,3,0,2,0,3,0,1,0,4,0,23.0,0.0,3,0,13772.0
Cullman,,3195,11-08-2020,27,Alabama,54,0,65,0,43,0,49,1,28,0,40,0,41,-1,42,1,47,0,34,1,55,0,18,0,19,0,27,0,22,0,22,0,36,2,22,0,37,0,26,0,51,0,88,1,47,1,39,0,49,0,35,0,50,0,62,0,364.0,2.0,55,0,83768.0
Dale,,2043,11-08-2020,55,Alabama,13,0,41,0,19,0,17,1,9,0,12,0,86,0,11,0,16,0,4,0,16,0,9,0,10,0,11,0,10,0,14,0,16,1,3,0,4,0,9,0,27,1,18,2,9,0,18,0,10,0,19,0,20,0,44,0,117.0,3.0,16,0,49172.0
Dallas,,1986,11-08-2020,27,Alabama,2,0,11,0,0,0,9,0,6,0,1,0,2,0,1,0,2,0,4,0,5,0,4,0,7,0,0,0,4,0,0,0,4,1,1,0,4,0,2,0,11,0,18,0,8,0,20,0,15,0,2,0,1,0,12,0,79.0,0.0,5,0,37196.0
