Admin2,City,Confirmed,Date,Deaths,Province_State,d10_Confirmed,d10_Deaths,d11_Confirmed,d11_Deaths,d12_Confirmed,d12_Deaths,d13_Confirmed,d13_Deaths,d14_Confirmed,d14_Deaths,d15_Confirmed,d15_Deaths,d16_Confirmed,d16_Deaths,d17_Confirmed,d17_Deaths,d18_Confirmed,d18_Deaths,d19_Confirmed,d19_Deaths,d1_Confirmed,d1_Deaths,d20_Confirmed,d20_Deaths,d21_Confirmed,d21_Deaths,d22_Confirmed,d22_Deaths,d23_Confirmed,d23_Deaths,d24_Confirmed,d24_Deaths,d25_Confirmed,d25_Deaths,d26_Confirmed,d26_Deaths,d27_Confirmed,d27_Deaths,d28_Confirmed,d28_Deaths,d2_Confirmed,d2_Deaths,d3_Confirmed,d3_Deaths,d4_Confirmed,d4_Deaths,d5_Confirmed,d5_Deaths,d6_Confirmed,d6_Deaths,d7_Confirmed,d7_Deaths,d8_Confirmed,d8_Deaths,d9_Confirmed,d9_Deaths,dWeek_Confirmed,dWeek_Deaths,dYesterday_Confirmed,dYesterday_Deaths,Population
Baldwin,,2373,11-08-2020,66,Georgia,6,1,1,0,9,0,0,0,6,0,3,0,12,1,18,0,7,0,3,0,2,0,7,0,5,0,4,0,10,1,6,0,6,0,17,0,0,0,6,1,9,0,7,0,8,1,4,0,4,0,2,0,6,0,9,0,36.0,1.0,2,0,44890.0
Banks,,596,11-08-2020,9,Georgia,5,0,3,0,-1,0,3,0,1,0,1,0,2,0,5,0,0,0,0,0,2,0,3,0,1,0,4,0,2,0,6,0,1,0,-1,0,2,0,1,0,3,0,2,1,2,0,4,0,7,0,2,0,1,0,10,0,22.0,1.0,2,0,19234.0
Barrow,,2759,11-08-2020,55,Georgia,14,0,15,0,14,0,23,1,9,0,7,0,15,0,20,0,10,0,11,0,10,0,20,0,8,0,8,0,18,3,18,0,17,0,11,0,22,0,4,0,14,1,9,2,8,0,16,0,19,1,11,0,10,0,17,0,87.0,4.0,10,0,83240.0
Bartow,,3854,11-08-2020,96,Georgia,22,0,30,2,23,0,34,0,9,0,33,0,27,0,27,0,41,0,31,1,10,0,45,1,17,0,25,1,41,-1,27,1,38,0,41,0,25,0,4,0,24,0,17,0,29,0,33,0,24,0,3,0,0,0,25,0,140.0,0.0,10,0,107738.0
Ben Hill,,901,11-08-2020,34,Georgia,1,1,6,0,0,0,0,0,1,0,3,0,0,-1,8,0,8,2,4,0,2,0,1,0,0,0,3,0,3,2,1,1,2,0,2,0,0,0,5,2,4,0,2,0,1,0,4,0,1,0,0,0,3,0,6,0,14.0,0.0,2,0,16700.0
Berrien,,507,11-08-2020,15,Georgia,3,0,0,0,2,0,0,0,1,0,0,0,5,1,1,0,2,0,2,0,1,0,2,0,0,0,0,0,1,0,4,0,2,0,-1,0,3,0,1,0,-1,1,2,0,0,0,0,0,2,0,0,0,1,0,6,1,4.0,1.0,1,0,19397.0
Bibb,,6824,11-08-2020,204,Georgia,27,1,14,1,14,1,10,2,18,1,10,0,16,-1,30,4,21,0,16,2,9,0,9,0,16,0,15,0,19,2,26,-1,27,0,36,-1,24,0,16,0,15,1,18,1,15,1,31,1,17,0,12,0,15,0,33,1,117.0,4.0,9,0,153159.0
Bleckley,,517,11-08-2020,27,Georgia,1,0,2,0,3,0,-2,0,0,0,2,0,1,3,7,1,2,2,0,0,-1,0,0,0,2,0,-2,0,10,0,14,0,3,0,7,0,0,0,2,0,0,0,1,0,-1,0,3,0,1,0,-1,0,-5,0,3,0,2.0,0.0,-1,0,12873.0
Brantley,,490,11-08-2020,13,Georgia,3,0,1,0,7,0,9,0,1,0,18,0,6,0,2,0,7,0,2,1,2,0,2,0,4,0,1,0,7,1,13,0,8,0,1,0,0,0,0,0,3,0,4,0,3,0,2,0,3,0,0,0,0,0,7,0,17.0,0.0,2,0,19109.0
Brooks,,554,11-08-2020,26,Georgia,0,0,-1,-1,2,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0,0,2,1,0,0,0,0,3,0,5,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,15457.0
Bryan,,1338,11-08-2020,16,Georgia,-7,0,3,0,8,2,8,0,8,0,11,0,1,0,-3,0,2,0,10,0,4,0,9,0,4,0,11,1,2,0,10,0,8,0,3,0,9,0,4,0,4,0,2,0,9,0,8,0,2,0,-4,0,0,0,-1,0,25.0,0.0,4,0,39627.0
Bulloch,,3162,11-08-2020,33,Georgia,-1,0,10,0,4,0,4,0,14,0,10,0,7,0,17,0,7,0,2,0,5,0,9,0,4,0,13,0,6,1,9,0,8,0,13,0,2,0,5,0,4,0,8,0,8,0,7,0,1,0,1,0,22,0,4,0,34.0,0.0,5,0,79608.0
Burke,,917,11-08-2020,12,Georgia,-1,0,3,0,7,0,7,0,-1,0,1,0,2,0,4,0,2,0,0,1,1,0,2,0,0,0,1,0,1,0,0,0,5,0,3,0,3,0,2,0,3,0,2,0,5,0,2,0,0,0,3,0,2,0,4,0,16.0,0.0,1,0,22383.0
Butts,,777,11-08-2020,44,Georgia,0,0,3,0,3,0,-2,0,3,0,0,0,5,0,6,1,3,0,0,0,2,0,1,0,1,0,2,0,8,0,1,0,-10,0,0,0,4,0,2,0,1,0,4,0,9,0,3,0,7,0,2,0,2,0,1,0,28.0,0.0,2,0,24936.0
Calhoun,,278,11-08-2020,10,Georgia,3,0,2,0,0,0,4,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,1,0,-8,0,2,0,3,0,4,0,0,0,0,0,0,0,2,1,1.0,0.0,0,0,6189.0
Camden,,1499,11-08-2020,18,Georgia,6,0,13,0,7,0,4,0,4,0,6,0,4,0,5,1,3,0,3,0,3,0,2,0,1,0,6,0,1,1,8,0,6,0,4,0,1,0,1,0,4,0,3,0,15,0,9,0,-2,0,8,0,4,0,13,0,40.0,0.0,3,0,54666.0
Candler,,565,11-08-2020,25,Georgia,1,0,0,0,1,1,4,0,2,0,3,0,6,0,1,0,2,0,2,0,1,0,3,0,2,0,2,0,5,0,4,1,2,0,2,0,4,0,2,0,2,0,-1,0,3,0,7,0,3,0,0,0,3,0,0,0,15.0,0.0,1,0,10803.0
Carroll,,3558,11-08-2020,80,Georgia,10,1,19,0,4,1,-16,0,21,0,22,0,13,0,54,0,35,0,14,0,8,0,10,0,14,1,23,0,21,0,48,0,33,0,13,0,17,2,25,0,14,0,30,0,16,2,32,0,16,0,14,1,11,0,47,0,130.0,3.0,8,0,119992.0
Catoosa,,1616,11-08-2020,25,Georgia,11,1,17,0,15,0,16,0,3,0,23,0,10,1,9,0,7,1,11,0,15,0,5,0,4,0,3,0,10,0,14,1,10,0,12,0,0,0,3,0,24,0,17,0,22,0,15,2,19,0,11,0,5,0,16,0,123.0,2.0,15,0,67580.0
Charlton,,656,11-08-2020,10,Georgia,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-2,1,-1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,7.0,0.0,0,0,13392.0
Chatham,,9732,11-08-2020,194,Georgia,21,2,33,1,40,0,64,1,19,0,6,0,37,0,35,0,25,0,45,3,4,0,50,1,24,1,25,0,34,0,58,3,28,0,29,1,39,1,20,1,29,0,31,1,55,0,44,1,21,1,1,0,17,0,30,1,185.0,3.0,4,0,289430.0
Chattahoochee,,1839,11-08-2020,1,Georgia,30,0,6,0,0,0,4,0,1,0,0,0,7,0,0,0,0,0,7,0,9,0,10,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,10,0,2,0,3,0,2,0,9,0,0,0,0,0,21,0,35.0,0.0,9,0,10907.0
Chattooga,,1028,11-08-2020,29,Georgia,7,0,16,0,4,0,7,0,6,0,13,0,4,0,8,1,14,0,7,1,8,0,6,0,1,0,1,0,8,0,2,1,12,0,7,0,6,0,0,0,10,0,5,0,9,0,7,0,10,0,3,0,2,0,7,0,52.0,0.0,8,0,24789.0
Cherokee,,7701,11-08-2020,104,Georgia,23,0,58,0,79,0,25,0,20,1,39,0,48,1,69,0,61,0,42,0,45,0,22,0,10,0,31,0,35,0,55,2,54,1,53,0,21,0,26,0,69,0,51,2,38,0,57,0,55,0,22,0,46,0,76,0,337.0,2.0,45,0,258773.0
Clarke,,6040,11-08-2020,50,Georgia,22,1,39,1,19,0,21,1,9,0,21,0,22,0,32,1,28,0,27,0,15,0,18,0,0,0,18,0,16,0,40,0,42,0,36,0,24,0,2,0,33,0,41,0,34,0,16,0,24,0,12,0,17,0,39,0,175.0,0.0,15,0,128331.0
Clay,,124,11-08-2020,3,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,2834.0
Clayton,,8759,11-08-2020,183,Georgia,64,1,45,3,53,0,32,0,31,0,35,0,65,0,54,0,35,0,51,1,44,0,38,0,17,0,43,1,45,2,68,1,70,0,47,0,60,0,43,0,54,0,37,1,38,3,54,0,47,0,18,0,50,0,55,0,292.0,4.0,44,0,292256.0
Clinch,,471,11-08-2020,13,Georgia,3,0,3,0,2,0,1,0,2,0,1,0,7,0,1,0,4,0,2,0,3,0,6,0,2,0,3,1,0,0,2,0,6,0,2,0,4,0,1,0,2,0,0,0,4,0,1,0,0,0,0,0,3,0,2,1,10.0,0.0,3,0,6618.0
Cobb,Marietta,23090,11-08-2020,468,Georgia,73,1,82,0,110,3,53,0,64,0,74,0,113,2,110,3,86,0,112,1,64,0,59,0,38,1,40,0,77,1,117,2,86,2,159,0,69,-1,65,1,113,1,77,-2,127,3,122,1,157,5,55,1,33,0,210,1,715.0,9.0,64,0,760141.0
Coffee,,2370,11-08-2020,65,Georgia,22,1,14,2,5,0,11,0,2,0,2,0,10,0,15,0,15,0,7,1,4,0,6,0,1,0,3,1,2,1,12,0,14,0,4,0,1,0,1,0,16,0,19,0,7,1,8,0,8,0,3,0,2,0,7,1,65.0,1.0,4,0,43273.0
Colquitt,,2169,11-08-2020,40,Georgia,5,0,4,0,9,1,0,0,-1,0,10,0,13,0,4,0,3,0,10,0,4,0,12,0,2,0,2,1,18,1,33,0,6,0,17,0,8,0,10,0,2,0,7,0,1,0,9,0,4,0,0,0,0,0,1,0,27.0,0.0,4,0,45600.0
Columbia,,4618,11-08-2020,68,Georgia,25,1,29,0,15,0,20,0,21,0,19,0,28,0,30,0,27,0,20,0,4,0,26,0,16,0,29,0,21,1,44,1,43,0,12,0,8,0,25,0,21,0,27,0,28,2,14,0,7,0,17,0,23,0,37,1,118.0,2.0,4,0,156714.0
Cook,,654,11-08-2020,16,Georgia,4,0,10,0,2,0,0,0,0,0,1,0,0,0,3,0,3,0,2,0,2,0,2,0,0,1,0,0,2,0,0,0,3,0,2,0,1,0,1,1,5,0,10,0,5,0,9,0,7,0,2,0,5,0,11,0,40.0,0.0,2,0,17270.0
Coweta,,3092,11-08-2020,63,Georgia,17,0,12,0,7,0,7,0,8,0,21,0,13,0,22,0,12,1,12,1,6,0,8,1,10,0,14,0,4,0,26,2,24,0,8,0,15,0,3,0,17,0,11,0,10,0,10,0,8,0,12,0,5,0,13,0,74.0,0.0,6,0,148509.0
Crawford,,203,11-08-2020,6,Georgia,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,0.0,1,0,12404.0
Crisp,,683,11-08-2020,24,Georgia,1,0,4,0,4,0,1,0,1,0,0,0,4,0,2,0,0,0,2,0,2,0,2,0,0,0,2,0,2,1,14,2,3,1,0,0,2,0,1,0,2,0,2,0,5,0,2,0,4,0,2,1,4,0,8,0,19.0,1.0,2,0,22372.0
Dade,,410,11-08-2020,6,Georgia,6,0,6,0,1,0,7,0,4,0,2,0,3,1,2,0,2,0,2,0,1,0,8,0,1,0,1,0,2,0,5,0,6,0,4,0,0,0,1,0,7,0,6,0,6,0,8,0,5,0,1,0,2,0,6,0,34.0,0.0,1,0,16116.0
Dawson,,949,11-08-2020,11,Georgia,3,0,7,0,4,0,2,0,1,0,1,0,4,0,3,1,3,0,4,0,1,0,7,0,0,0,1,0,6,0,1,0,11,1,7,0,2,0,0,0,3,0,3,0,5,0,6,0,4,0,0,0,1,0,1,0,22.0,0.0,1,0,26108.0
DeKalb,Decatur,22575,11-08-2020,408,Georgia,106,2,104,3,130,0,52,1,72,2,94,0,114,-2,186,4,101,2,88,1,130,0,88,0,31,0,93,4,94,-1,119,3,112,1,60,1,54,2,41,0,66,1,118,0,152,0,227,3,138,0,66,1,91,0,146,0,897.0,5.0,130,0,759297.0
Decatur,,1340,11-08-2020,36,Georgia,4,1,7,0,5,0,1,0,3,0,1,0,9,0,5,0,5,0,4,0,3,0,4,0,1,0,3,0,3,0,5,0,7,0,4,0,1,0,1,0,9,0,5,0,4,0,4,1,0,0,0,0,5,0,2,0,25.0,1.0,3,0,26404.0
Dodge,,666,11-08-2020,29,Georgia,10,0,8,0,3,0,4,3,12,1,3,0,7,0,20,1,19,0,14,0,5,0,4,0,5,0,1,0,3,1,18,0,7,0,25,0,5,1,3,0,3,0,2,0,3,6,5,2,10,0,-4,2,2,0,10,0,24.0,10.0,5,0,20605.0
Dooly,,387,11-08-2020,18,Georgia,1,0,1,0,3,0,1,0,1,0,0,0,1,1,4,1,2,0,3,0,1,0,-1,0,1,0,3,1,1,1,3,0,1,0,0,0,-1,0,1,0,3,0,0,-1,2,0,1,0,0,1,1,0,0,0,3,0,8.0,0.0,1,0,13390.0
Dougherty,,3344,11-08-2020,193,Georgia,2,0,5,0,6,0,-2,0,1,0,2,0,4,0,7,1,5,0,6,0,2,0,4,0,5,0,8,0,3,0,6,1,8,1,10,0,4,0,7,0,8,0,5,0,7,0,1,2,1,0,2,0,6,0,5,0,26.0,2.0,2,0,87956.0
Douglas,,4366,11-08-2020,77,Georgia,12,0,21,1,30,0,6,0,12,0,13,0,14,0,37,0,19,0,23,0,11,0,12,1,3,0,12,0,22,0,15,0,19,0,13,0,14,1,12,0,22,1,31,1,32,0,33,2,22,0,11,0,7,0,50,0,162.0,4.0,11,0,146343.0
Early,,569,11-08-2020,35,Georgia,1,0,5,0,0,0,-1,0,1,0,5,0,0,0,8,0,2,1,3,0,0,0,2,0,1,0,5,1,1,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,4,0,2,0,1,0,1,0,0,0,2,0,11.0,0.0,0,0,10190.0
Echols,,246,11-08-2020,2,Georgia,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,4006.0
Effingham,,1912,11-08-2020,29,Georgia,10,1,8,0,11,0,20,0,19,0,8,0,10,1,14,0,12,-1,14,0,5,0,12,0,18,0,18,0,17,0,17,0,12,0,12,0,13,0,5,0,5,0,12,0,11,0,12,0,3,0,1,0,3,0,15,0,49.0,0.0,5,0,64296.0
Elbert,,816,11-08-2020,14,Georgia,3,1,6,0,2,1,-15,-1,0,0,3,0,3,0,3,0,4,0,2,0,6,0,3,1,5,0,2,0,6,0,3,0,3,0,6,0,5,0,4,0,12,1,6,1,9,1,5,0,7,0,2,1,2,0,4,0,47.0,4.0,6,0,19194.0
Emanuel,,1253,11-08-2020,38,Georgia,0,0,5,0,1,2,1,0,7,1,4,0,4,0,11,0,5,0,3,0,4,0,3,0,2,0,8,0,7,0,3,1,3,0,5,1,2,0,1,0,7,0,1,-1,11,0,7,0,5,0,2,0,5,0,2,0,37.0,-1.0,4,0,22646.0
Evans,,492,11-08-2020,7,Georgia,-1,0,0,0,2,0,5,0,0,0,1,0,1,0,3,1,4,0,0,0,0,0,7,0,3,0,2,0,2,0,7,0,1,0,1,0,3,0,2,0,0,0,1,0,-1,0,1,0,1,0,1,0,2,0,1,0,3.0,0.0,0,0,10654.0
Fannin,,863,11-08-2020,29,Georgia,-2,-2,3,0,4,1,6,0,2,0,6,0,9,0,3,0,16,0,3,0,8,0,3,0,0,0,4,0,8,0,8,0,1,0,4,0,3,0,0,0,5,0,2,0,2,2,6,0,2,0,-3,0,1,0,7,0,22.0,2.0,8,0,26188.0
Fayette,,2270,11-08-2020,58,Georgia,10,0,6,0,0,0,6,0,7,0,12,0,3,1,14,0,14,1,11,2,15,0,13,0,9,1,21,0,7,0,7,0,18,1,8,-1,13,1,4,0,7,1,9,0,12,0,10,0,14,0,10,0,21,0,27,0,77.0,1.0,15,0,114421.0
Floyd,,4339,11-08-2020,65,Georgia,32,1,65,0,19,1,44,0,16,0,30,0,29,1,52,1,75,0,43,2,30,0,41,0,16,0,21,0,36,2,34,2,19,2,39,0,23,0,15,0,27,1,30,2,32,1,46,0,39,0,21,0,11,0,31,0,225.0,4.0,30,0,98498.0
Forsyth,,5088,11-08-2020,55,Georgia,31,0,20,1,37,0,35,0,13,1,13,0,27,0,40,0,20,0,12,0,15,0,15,0,10,1,23,1,25,0,36,2,26,0,40,0,22,0,3,0,36,0,32,0,27,0,40,1,18,0,14,0,18,0,65,0,182.0,1.0,15,0,244252.0
Franklin,,1011,11-08-2020,18,Georgia,18,0,2,0,2,0,9,0,5,1,4,0,28,0,25,0,6,0,2,0,3,0,11,0,9,0,0,0,6,1,8,0,5,0,1,0,5,0,5,0,11,0,8,0,9,0,6,0,9,0,3,0,3,0,4,0,49.0,0.0,3,0,23349.0
Fulton,Atlanta,32694,11-08-2020,636,Georgia,113,1,95,6,182,1,112,0,88,1,147,0,151,4,276,1,123,1,145,4,142,0,111,1,66,1,141,1,116,2,133,4,100,2,55,3,104,2,98,1,119,1,105,4,194,2,163,0,128,1,90,0,98,0,227,1,941.0,8.0,142,0,1063937.0
Gilmer,,1091,11-08-2020,24,Georgia,-3,-1,9,0,7,0,6,0,3,0,7,0,12,0,4,1,7,1,13,2,3,0,2,0,3,0,6,0,15,2,6,1,17,0,8,1,1,2,0,0,0,0,1,0,4,0,9,0,10,2,-1,-1,3,1,13,0,26.0,1.0,3,0,31369.0
Glascock,,54,11-08-2020,2,Georgia,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2.0,0.0,0,0,2971.0
Glynn,,3869,11-08-2020,105,Georgia,9,0,17,0,11,0,7,0,10,0,10,0,15,0,15,0,16,1,10,1,14,0,12,1,5,0,2,0,17,2,14,0,18,1,0,0,1,0,10,0,6,0,10,0,7,0,15,1,17,0,8,0,6,0,26,0,77.0,1.0,14,0,85292.0
Gordon,,2612,11-08-2020,50,Georgia,14,2,27,0,17,0,44,0,8,1,11,0,16,1,29,0,27,0,39,1,15,0,38,0,4,0,25,0,37,3,26,0,24,0,26,0,17,0,6,0,39,2,8,0,23,0,28,1,32,0,12,0,4,0,23,0,157.0,3.0,15,0,57963.0
Grady,,888,11-08-2020,25,Georgia,1,0,6,0,2,0,5,0,2,0,1,0,1,0,3,0,1,0,1,0,4,0,1,0,0,0,4,0,1,0,4,2,1,0,2,0,2,0,1,0,-1,0,0,0,6,0,4,0,3,0,1,0,0,0,4,0,17.0,0.0,4,0,24633.0
Greene,,597,11-08-2020,25,Georgia,1,0,3,0,3,0,1,0,0,0,0,0,3,0,5,0,3,0,1,0,0,0,1,0,1,0,5,0,0,0,3,1,0,0,2,0,2,0,2,0,1,0,3,0,0,0,3,0,2,0,4,0,2,0,5,0,13.0,0.0,0,0,18324.0
Gwinnett,Lawrenceville,32167,11-08-2020,459,Georgia,148,2,150,2,107,2,106,1,77,2,102,0,95,2,150,0,43,2,50,0,122,0,118,2,59,1,131,2,140,2,123,1,138,1,142,2,154,1,65,0,112,1,146,2,140,3,174,1,125,0,130,2,116,0,208,1,949.0,9.0,122,0,936250.0
Habersham,,1941,11-08-2020,76,Georgia,3,0,13,0,8,0,6,1,1,0,1,0,7,2,5,0,16,0,2,0,0,0,9,0,1,1,2,0,7,0,11,2,6,-1,19,1,5,0,0,0,5,0,6,-2,8,0,5,0,7,0,1,0,3,0,6,0,32.0,-2.0,0,0,45328.0
Hall,,11172,11-08-2020,184,Georgia,45,0,46,0,36,2,53,3,10,0,21,0,45,0,44,1,41,2,29,2,22,0,70,0,14,0,22,1,76,2,70,1,65,0,70,0,43,2,21,0,48,0,37,0,66,1,70,1,58,1,26,2,8,0,52,1,327.0,5.0,22,0,204441.0
Hancock,,422,11-08-2020,45,Georgia,1,0,0,0,0,0,-1,0,1,0,0,0,-1,0,2,0,0,0,-1,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,2,0,3,0,3.0,1.0,0,0,8457.0
Haralson,,733,11-08-2020,15,Georgia,2,0,9,1,8,0,7,0,3,0,2,0,5,0,9,0,6,0,6,0,5,0,4,0,2,0,5,0,17,0,6,1,7,0,8,0,6,0,3,0,9,0,3,0,23,3,17,1,2,0,1,0,1,0,11,0,60.0,4.0,5,0,29792.0
Harris,,878,11-08-2020,26,Georgia,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,4,0,3,0,0,0,3,0,2,0,0,0,2,0,1,0,6,0,3,0,3,0,2,1,1,0,8,0,6,1,4,0,1,0,1,0,2,0,3,0,21.0,1.0,0,0,35236.0
Hart,,623,11-08-2020,19,Georgia,9,0,2,1,0,0,2,0,1,0,3,0,4,0,2,0,3,0,-1,0,6,0,3,0,3,0,0,0,2,0,3,0,3,0,1,0,0,1,5,1,2,1,2,0,7,1,1,0,3,0,1,0,1,0,13,0,22.0,2.0,6,0,26205.0
Heard,,254,11-08-2020,6,Georgia,3,0,5,0,1,0,1,0,2,0,1,0,2,0,5,0,4,0,1,0,1,0,0,0,2,0,0,0,3,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,2,0,5,0,1,0,2,0,1,0,3,0,13.0,0.0,1,0,11923.0
Henry,,6652,11-08-2020,122,Georgia,35,1,46,0,19,1,41,0,27,0,40,0,46,0,51,1,25,0,17,0,19,0,21,0,31,1,52,1,37,0,46,3,47,0,24,0,30,0,20,0,40,4,25,0,64,2,57,1,22,1,30,0,36,0,55,0,257.0,8.0,19,0,234561.0
Houston,,3856,11-08-2020,97,Georgia,28,0,25,1,4,0,23,0,17,0,5,0,22,2,30,1,32,0,14,0,8,0,19,2,15,0,22,1,20,2,23,0,23,0,23,0,13,0,13,0,23,0,29,0,7,0,24,1,11,1,14,0,17,0,55,0,116.0,2.0,8,0,157863.0
Irwin,,370,11-08-2020,10,Georgia,1,0,2,0,-2,0,1,0,0,0,1,0,4,2,1,0,1,0,1,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,1,0,2,0,1,0,0,0,4,0,1,1,3,1,1,0,0,0,1,0,1,0,9.0,2.0,0,0,9416.0
Jackson,,2617,11-08-2020,44,Georgia,18,0,16,1,17,1,14,0,10,0,14,0,14,0,16,0,13,0,12,0,12,0,23,0,6,0,8,0,14,1,31,0,19,0,16,1,10,0,6,1,25,1,28,0,21,1,17,0,30,0,11,0,16,0,31,0,144.0,2.0,12,0,72977.0
Jasper,,253,11-08-2020,4,Georgia,0,0,2,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,-1,0,1,0,-2,0,1,0,2,0,1,1,1,0,3,0,3,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4.0,0.0,0,0,14219.0
Jeff Davis,,818,11-08-2020,27,Georgia,3,0,3,0,6,0,5,0,2,0,0,0,2,0,1,0,5,1,0,0,0,0,4,0,-1,0,0,0,4,0,6,0,10,0,0,0,7,0,0,0,2,0,2,1,1,1,0,0,1,2,1,0,2,0,5,0,7.0,4.0,0,0,15115.0
Jefferson,,870,11-08-2020,35,Georgia,0,0,1,0,3,0,0,0,1,1,0,0,3,0,5,0,4,0,3,0,1,0,2,0,4,0,0,0,0,0,2,1,2,0,0,0,0,0,2,0,2,0,6,1,1,0,3,1,0,0,0,0,-1,0,1,0,13.0,2.0,1,0,15362.0
Jenkins,,477,11-08-2020,33,Georgia,0,0,3,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,-1,0,3,0,0,0,0,0,5.0,1.0,1,0,8676.0
Johnson,,442,11-08-2020,24,Georgia,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,-2,0,4,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,-1,0,0,0,-1,0,0,0,2.0,1.0,1,0,9643.0
Jones,,676,11-08-2020,17,Georgia,3,0,1,1,3,0,1,0,0,0,1,0,3,1,3,0,4,0,1,0,1,0,2,1,1,0,2,0,5,1,1,0,5,0,3,0,8,0,3,0,3,0,3,0,7,0,2,0,3,0,0,0,3,0,4,0,19.0,0.0,1,0,28735.0
Lamar,,453,11-08-2020,20,Georgia,2,0,1,0,1,0,1,0,2,1,14,0,2,0,1,0,-1,0,1,0,0,0,0,0,0,0,3,0,5,0,1,0,3,0,0,0,0,0,0,0,4,0,3,0,1,0,4,0,6,0,3,0,2,0,4,0,21.0,0.0,0,0,19077.0
Lanier,,324,11-08-2020,7,Georgia,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,1,0,10423.0
Laurens,,2107,11-08-2020,94,Georgia,5,0,4,1,21,1,14,0,5,0,3,0,23,0,5,0,18,0,4,0,8,0,13,0,8,0,0,1,6,0,11,3,16,0,11,0,5,0,7,1,4,1,16,1,2,1,25,0,12,2,2,0,7,0,12,1,69.0,5.0,8,0,47546.0
Lee,,764,11-08-2020,31,Georgia,4,0,0,1,2,0,-1,0,1,0,0,0,2,2,1,0,3,0,1,0,0,0,0,0,2,0,0,0,3,1,3,0,1,0,2,0,2,0,2,0,3,0,0,0,1,1,1,0,0,0,3,0,1,0,3,0,8.0,1.0,0,0,29992.0
Liberty,,1345,11-08-2020,26,Georgia,-2,0,13,0,28,0,13,0,1,0,1,0,4,0,10,0,4,1,2,0,2,0,11,0,5,0,9,0,4,0,7,0,4,0,3,0,1,0,4,0,7,0,1,0,31,0,11,1,6,0,-2,0,-1,0,4,0,56.0,1.0,2,0,61435.0
Lincoln,,251,11-08-2020,8,Georgia,2,0,0,0,1,0,0,0,2,0,1,0,0,0,3,0,1,0,2,0,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,4,1,1,0,1,0,0,0,1,0,4,0,0,0,10.0,1.0,1,0,7921.0
Long,,289,11-08-2020,4,Georgia,1,0,1,0,-1,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,2,0,1,0,2,0,1,0,0,0,-1,0,2,0,1,0,4,0,2,0,-1,0,1,0,3,0,3,0,0,0,2,0,1,0,0,0,10.0,0.0,2,0,19559.0
Lowndes,,4657,11-08-2020,90,Georgia,7,1,21,1,18,0,6,0,6,0,22,0,24,0,17,0,25,0,29,0,28,0,18,0,10,0,19,0,23,0,38,0,41,0,28,-1,7,1,16,0,25,0,11,0,31,1,17,0,10,2,0,0,13,0,19,0,122.0,3.0,28,0,117406.0
